Company Name,Company Rating,Job Title,Location,Description,Salary Range,Median Salary
Locus IT Services,3.7,Forecasting Analyst/ Data Scientist,Bengaluru,"Job description
Roles and Responsibilities
The person will be the Point of Contact for forecasting and budget planning
Updates the forecast with monthly / weekly actual data and suggested improvements based on trend analysis
Refines forecasting scenarios and generates final forecast
Refines and capture data to be used as an input to the models
Designs and develops forecasting scenarios",₹1L – ₹10L/yr (Glassdoor Est.),₹4L/yr Median
Elsevier,4.0,Senior Data Scientist I,Remote,"Senior Data Scientist I
Are you interested in working with data and analytics to solve problems?

Are you interested in bringing your Gen AI, Machine Learning and NLP expertise to projects?

About our Team:
Data Science Health Content Operations team works with a focus on Generative AI, Machine Learning, Natural Language Processing, and Statistical techniques. It helps in building state of the art applications for the health sciences domain.

About the Role:",N/A,N/A
Rightpoint,3.3,Data Scientist,Bengaluru,"Job Description
We are looking for a data scientist who will be an integral part of client projects to design, develop and deliver decisioning intelligence solutions. Your primary responsibility will be to use advanced analytical, statistical, and programming skills to extract insights from large and small datasets, solve business challenges, and drive decision making. As part of a team, your responsibilities will entail working in a collaborative manner with other team members, and across multiple business and technical entities on the client side.
This role requires a combination of technical expertise, analytical thinking, and business acumen to derive value from data effectively.
Responsibilities
Partner with team partners and client stakeholders to develop strategic roadmap for advanced analytics solutions which can be integrated into work plans as per business priorities.",₹4L – ₹9L/yr (Glassdoor Est.),₹6L/yr Median
AT&T,3.4,Specialist Data/AI Engineering,Hyderābād,"Job Description:
Role Overview
As a Specialist Data/AI Engineer – QA at AT&T, you will be responsible for ensuring the quality, reliability, and performance of data pipelines, AI models, and analytics solutions. You will design and execute comprehensive testing strategies for data and AI systems, including validation of data integrity, model accuracy, and system scalability. Your role is critical to delivering robust, production-ready AI and data solutions that meet AT&T’s high standards.
Key Responsibilities
Develop and implement QA frameworks, test plans, and automated testing scripts for data pipelines and AI/ML models.
40
Regular
IND:AP:Hyderabad / Argus Bldg 4f & 5f, Sattva, Knowledge City- Adm: Argus Building, Sattva, Knowledge City",₹2L – ₹9L/yr (Glassdoor Est.),₹5L/yr Median
Clarivate,3.6,Data Scientist,Noida,"We are looking for a ‘Data Scientist’ to join our Technology team at Clarivate. You will get the opportunity to work on interesting IP data and interesting challenges to create insights and drive business acumen to add value to our world class products and services

About You – experience, education, skills, and accomplishments
Advanced degree in Computer Science, Statistics, Engineering, Physics, Mathematics, or other quantitative majors, or equivalent work experience.
Atleast 2 years of industry experience in the application of ML and NLP
Excellent understanding of ML, NLP, and statistical methodologies in a data analytics environment
Good programming skills (Python, Java, R or C++)",₹8L – ₹10L/yr (Glassdoor Est.),₹9L/yr Median
WorldQuant,4.3,BRAIN Data Scientist,Mumbai,"WorldQuant develops and deploys systematic financial strategies across a broad range of asset classes and global markets. We seek to produce high-quality predictive signals (alphas) through our proprietary research platform to employ financial strategies focused on market inefficiencies. Our teams work collaboratively to drive the production of alphas and financial strategies – the foundation of a balanced, global investment platform.
WorldQuant is built on a culture that pairs academic sensibility with accountability for results. Employees are encouraged to think openly about problems, balancing intellectualism and practicality. Excellent ideas come from anyone, anywhere. Employees are encouraged to challenge conventional thinking and possess an attitude of continuous improvement.
Our goal is to hire the best and the brightest. We value intellectual horsepower first and foremost, and people who demonstrate an outstanding talent. There is no roadmap to future success, so we need people who can help us build it.",N/A,N/A
Gujarat Fluorochemicals,3.8,Data Scientist,Noida,"Company
Gujarat Fluorochemicals Limited

Grade / Level
III

Division / Department
Information Technology

Job Purpose",N/A,N/A
Texas Instruments,4.3,Principal Data Scientist (Demand Forecasting),Bengaluru,"Change the world. Love your job.
Texas Instruments is seeking experienced Data Scientist to join our team. As the Data Scientist in TI's Demand Analytics team, you will play a pivotal role in shaping and executing our demand planning and inventory buffer strategies for the company. You will be working side by side with a team of highly technical professionals that will consists of application developers, system architects, data scientists and data engineers. This role will be responsible for solving complex business problems through innovative solutions that deliver tangible business value. This position requires a technical leader with a strong technical background in AI/ML, simulation solutions, strategic thinking, and a passion for innovation through data. This team is responsible for: portfolio management for demand forecasting algorithms, generation of inventory buffer targets, segmentation of TI's products and simulation/validation frameworks, defining specs/reference architectures to best achieve business outcomes and ensuring security and interoperability between capabilities.",N/A,N/A
RELX,4.0,Senior Data Scientist I,Remote,"Senior Data Scientist I
Are you interested in working with data and analytics to solve problems?

Are you interested in bringing your Gen AI, Machine Learning and NLP expertise to projects?

About our Team:
Data Science Health Content Operations team works with a focus on Generative AI, Machine Learning, Natural Language Processing, and Statistical techniques. It helps in building state of the art applications for the health sciences domain.

About the Role:",N/A,N/A
Natwest,4.1,Data & Analytics Analyst (AVP),Bengaluru,"Join us as a Data & Analytics Analyst
Take on a new challenge in Data & Analytics and help us shape the future of our business
You’ll be supporting robust model validation management across the bank through effective policies, standards, procedures and system design
You’ll be helping to manage the analysis of complex data to identify business issues and opportunities, and supporting the delivery of high quality business solutions
We're committed to mapping a career path that works for you, with a focus on helping you build new skills and engage with the latest ideas and technologies in data analytics
We're offering this role at associate vice president level
What you'll do",₹7L – ₹8L/yr (Glassdoor Est.),₹7L/yr Median
Teksands,4.5,Data Scientist,Bengaluru,"Date Posted: 19-Apr-2024 | Qualification: B.E/B.Tech, MCA, ME/MTech
Register and
Position:
Data Scientist

Skills Required:
Python experience with open-source libraries like Scikit-learn, Pytorch, Gensim, Tika, SparkNLP and Spacy, Machine Learning, MLops

Employment Type:
Full Time",₹3L – ₹8L/yr (Glassdoor Est.),₹5L/yr Median
Arista Networks,4.0,Data Scientist,Pune,"Company Description

Arista Networks is an industry leader in data-driven, client-to-cloud networking for large data center, campus and routing environments. Arista is a well-established and profitable company with over $7 billion in revenue. Arista’s award-winning platforms, ranging in Ethernet speeds up to 800G bits per second, redefine scalability, agility, and resilience. Arista is a founding member of the Ultra Ethernet consortium. We have shipped over 20 million cloud networking ports worldwide with CloudVision and EOS, an advanced network operating system. Arista is committed to open standards, and its products are available worldwide directly and through partners.
At Arista, we value the diversity of thought and perspectives each employee brings. We believe fostering an inclusive environment where individuals from various backgrounds and experiences feel welcome is essential for driving creativity and innovation.",₹4L – ₹7L/yr (Glassdoor Est.),₹5L/yr Median
GiBots,3.0,ML/Data Scientist/Gen AI Specialist,Pune,"Description
Roots Innovation Labs is looking for a Machine Learning/Data Scientist with a passion for research and a knack for analysis, math, and statistics.
Responsibilities
Study and transform data science prototypes.
Design machine learning systems.
Research and implement appropriate ML/NLP/Gen AI algorithms, Models and tools.
Develop machine learning applications according to requirements.
Select appropriate datasets and data representation methods.
Run machine learning tests and experiments.",₹2L – ₹8L/yr (Glassdoor Est.),₹4L/yr Median
DATABEAT,4.0,Data Scientist,Hyderābād,"Job Summary
As a Junior Data Scientist, you will work on a variety of data-driven projects, assisting in data analysis, data modeling, and algorithm development. You will collaborate with senior team members and stakeholders to deliver insights that inform business decisions.
Responsibilities
Collect, clean, and preprocess data from various sources.
Should be able to work independently and take responsibilities
Assist in the development and implementation of statistical models and machine learning algorithms.
Conduct exploratory data analysis to identify patterns and trends.
Collaborate with cross-functional teams to understand business requirements and translate them into data-driven solutions.",₹2L – ₹6L/yr (Glassdoor Est.),₹4L/yr Median
FuelBuddy,3.9,Data Analyst,Gurgaon,"Job Summary:
We are seeking a skilled and detail-oriented Data Analyst with expertise in Sales Reporting to join our analytics team. The ideal candidate will be responsible for analyzing sales data, generating comprehensive reports, and providing actionable insights to drive strategic decision-making. You will collaborate closely with sales, marketing, and finance teams to enhance reporting efficiency and accuracy.
Key Responsibilities:
Data Analysis & Reporting:
Collect, clean, and analyze sales data from various sources (CRM systems, ERP tools, databases, etc.).
Develop, maintain, and automate regular sales reports and dashboards to track KPIs and performance metrics.
Generate ad-hoc reports to support sales strategies and decision-making.",₹7L – ₹10L/yr (Employer provided),₹9L/yr Median
Luxoft,3.8,Data Scientist,Bengaluru,"Project description
We are seeking a highly skilled and motivated Data Scientist with 5+ years of experience to join our team. The ideal candidate will bring strong data science, programming, and data engineering expertise, along with hands-on experience in generative AI, large language models, and modern LLM application frameworks. This role also demands excellent communication and stakeholder management skills to collaborate effectively across business units.
Responsibilities
We are seeking a highly skilled and motivated Data Scientist with 5+ years of experience to join our team. The ideal candidate will bring strong data science, programming, and data engineering expertise, along with hands-on experience in generative AI, large language models, and modern LLM application frameworks. This role also demands excellent communication and stakeholder management skills to collaborate effectively across business units.",N/A,N/A
Philips,3.8,Data Scientist - Generative AI,Bengaluru,"Job Title
Data Scientist - Generative AI
Job Description
We are seeking a highly skilled Data Scientist with Generative AI expertise to join our team. In this role, you will develop, fine-tune, and optimize generative AI models to drive innovation across various applications, including text, image, audio, and video generation. You will collaborate with cross-functional teams, including machine learning engineers, software developers, and product managers, to create cutting-edge AI solutions.

Key Responsibilities
Must Have",₹4L – ₹10L/yr (Glassdoor Est.),₹7L/yr Median
Avathon,3.1,Data Scientist_R&D,Bengaluru,"Who We Are & Why Join Us
Avathon is revolutionizing industrial AI with a powerful platform that enables businesses to harness the full potential of their operational data. Our technology seamlessly integrates and contextualizes siloed datasets, providing a 360-degree operational view that enhances decision-making and efficiency. With advanced capabilities like digital twins, natural language processing, normal behavior modeling, and machine vision, we create real-time virtual replicas of physical assets, enabling predictive maintenance, performance simulation, and operational optimization. Our AI-driven models empower companies with scalable solutions for anomaly detection, performance forecasting, and asset lifetime extension—all tailored to the complexities of industrial environments.
Cutting-Edge AI Innovation – Join a team at the forefront of AI, developing groundbreaking solutions that shape the future.
– Thrive in a fast-scaling startup where agility, collaboration, and rapid professional growth are the norm.
– Work on AI-driven projects that drive real change across industries and improve lives.",₹6L – ₹8L/yr (Glassdoor Est.),₹7L/yr Median
Seismic,3.8,Data Scientist I - AI Development and Data Science,Hyderābād,"About Us:
Please be aware we have noticed an increase in hiring scams potentially targeting Seismic candidates. Read our full statement on our Careers page.
Seismic is the global leader in AI-powered enablement, empowering go-to-market leaders to drive strategic growth and deliver exceptional customer experiences at scale. The Seismic Enablement Cloud™ is the only unified AI-powered platform that prepares customer-facing teams with the skills, content, tools, and insights needed to maximize every buyer interaction and strengthen client relationships. Trusted by more than 2,000 organizations worldwide, Seismic helps businesses achieve measurable outcomes and accelerate revenue growth. Seismic is headquartered in San Diego with offices across North America, Europe, Asia and Australia. Learn more at seismic.com.
Seismic is committed to building an inclusive workplace that ignites growth for our employees and creates a culture of belonging that allows all employees to be seen and valued for who they are. Learn more about DEI at Seismic
Overview:


Who you are::
What you'll be doing::
Job Posting Footer:



Linkedin Posting Section: #LI-SN1",₹4L – ₹8L/yr (Glassdoor Est.),₹6L/yr Median
HSBC,3.9,Data Scientist with Machine Learning/Senior Consultant Specialist,Pune,"Job description
Some careers shine brighter than others.
If you’re looking for a career that will help you stand out, join HSBC and fulfil your potential. Whether you want a career that could take you to the top, or simply take you in an exciting new direction, HSBC offers opportunities, support and rewards that will take you further.
HSBC is one of the largest banking and financial services organisations in the world, with operations in 64 countries and territories. We aim to be where the growth is, enabling businesses to thrive and economies to prosper, and, ultimately, helping people to fulfil their hopes and realise their ambitions.
We are currently seeking an experienced professional to join our team in the role of Senior Consultant Specialist
In this role, you will:",₹9L – ₹10L/yr (Glassdoor Est.),₹10L/yr Median
Contus,4.2,Data Scientist,Chennai,"We are seeking a Data scientist proficient with a strong background in Python, Statistics, Operations Research, and AI/ML tools and frameworks. The ideal candidate will have 6 to 8 years of experience in relevant fields.

Required Skills:
Python Programming: Strong proficiency in Python.
Statistics and Operations Research: Practical knowledge and working experience.
AI/ML Tools and Frameworks: Experience with Flask, PySpark, PyTorch, TensorFlow, Keras, Databricks, OpenCV, Pillow/PIL, Streamlit, d3js, DashPlotly, and Neo4j.
AWS Services: Hands-on experience with AWS AI/ML services like Sagemaker, Canvas, and Bedrock.
Machine Learning Techniques: Understanding of predictive and ML techniques like regression models, XGBoost, random forest, GBM, neural networks, SVM, etc.
Proficient with RNN, LSTM, and attention-based models; experience with models from Stanford, IBM, Azure, OpenAI.
Good understanding of SQL for efficient data querying.
Hands-on experience with version control tools like GitHub or Bitbucket.
Experience deploying ML models into production on platforms like Azure and AWS.
Ability to understand business needs and map them to business processes.
Experience with agile project delivery.
Good at conceptualizing and visualizing end-to-end business needs both at a high level and in detail.
Good communication, listening, and probing skills.
Strong analytical and problem-solving skills.
Strong interpersonal skills, collaboration with team members, and ability to work effectively in a team.


Understand and address business issues with valuable solutions.
Design factual, AI, and deep learning models to solve business problems.
Develop and deploy statistical, ML, and DL models into production.
Identify and augment accessible information sources.
Create innovative data visualization graphs using tools like d3js, DashPlotly, and Neo4j.


AWS Specialty Certification in Data Analytics
Machine Learning",₹4L – ₹8L/yr (Glassdoor Est.),₹6L/yr Median
Accenture,3.8,Data Science Practitioner,Bengaluru,"Project Role : Data Science Practitioner
Project Role Description : Formulating, design and deliver AI/ML-based decision-making frameworks and models for business outcomes. Measure and justify AI/ML based solution values.
Must have skills : Machine Learning
Good to have skills : NA
Minimum 15 year(s) of experience is required
Educational Qualification : 15 years full time education

Summary: As a Data Science Practitioner, you will be engaged in formulating, designing, and delivering AI and machine learning-based decision-making frameworks and models that drive business outcomes. Your typical day will involve collaborating with various teams to measure and justify the value of AI and machine learning solutions, ensuring that they align with organizational goals and deliver tangible results. You will also be responsible for analyzing complex data sets, deriving insights, and presenting findings to stakeholders to support informed decision-making processes. Roles & Responsibilities: - Expected to be a Subject Matter Expert with deep knowledge and experience. - Should have influencing and advisory skills. - Responsible for team decisions. - Engage with multiple teams and contribute on key decisions. - Expected to provide solutions to problems that apply across multiple teams. - Facilitate workshops and training sessions to enhance team capabilities in AI and machine learning. - Continuously evaluate and improve existing AI and machine learning models to ensure optimal performance. Professional & Technical Skills: - Must To Have Skills: Proficiency in Machine Learning. - Strong understanding of data preprocessing techniques and feature engineering. - Experience with various machine learning frameworks such as TensorFlow and PyTorch. - Ability to implement and optimize algorithms for predictive modeling. - Familiarity with cloud platforms for deploying machine learning models. Additional Information: - The candidate should have minimum 15 years of experience in Machine Learning. - This position is based at our Bengaluru office. - A 15 years full time education is required.

15 years full time education",N/A,N/A
Boston Consulting Group,4.2,"Data Scientist / Senior Data Scientist, India - BCG X",Gurgaon,"Locations: Mumbai | Gurgaon

Who We Are

We are BCG X. Our global team of 3,000 tech experts are united by a drive to make a difference. Working across industries and disciplines, we go beyond what was once thought possible, creating new and innovative solutions to the world’s most complex problems. BCG X provides a unique ecosystem for talent to build game-changing businesses, products, and services from the ground up, all while growing their career. Together, we strive to create solutions that will positively impact the lives of millions.

We Are BCG X

We’re a diverse team of more than 3,000 tech experts united by a drive to make a difference. Working across industries and disciplines, we combine our experience and expertise to tackle the biggest challenges faced by society today. We go beyond what was once thought possible, creating new and innovative solutions to the world’s most complex problems. Leveraging BCG’s global network and partnerships with leading organizations, BCG X provides a stable ecosystem for talent to build game-changing businesses, products, and services from the ground up, all while growing their career. Together, we strive to create solutions that will positively impact the lives of millions.

What You'll Do

As a Data Scientist at BCG, you will collaborate on challenging projects to increasing your understanding of complex business problems from diverse perspectives and developing new skills and experience to help you at every stage of your career. You will use data and advanced analytics to uncover innovative insights that create lasting impact for BCG and its clients.

Key Competencies

Applying advanced analytics and AI/ML techniques to solve complex business problems and create value for BCG clients.

Conceptualizing business problems and drive frameworks.

Managing engagements, client relationships, and display initiative to effectively drive solutions to client problems.

Communicating effectively and professionally with clients, delivering impactful solutions and presenting insights coherently.

Collaborating to work in cross-functional teams with diverse backgrounds and perspectives

What You'll Bring

A master’s degree or PhD in computer science, data science, mathematics, statistics, engineering, or a related field

2+ years of relevant work experience in data science, machine learning, artificial intelligence, or big data

Proficiency in Python, R, SQL, and other programming languages and tools for data analysis and machine learning

Experience in designing, developing, and deploying scalable and robust data products using cloud platforms such as AWS, Azure, or Google Cloud

Experience in using machine learning techniques such as regression, classification, clustering, natural language processing, computer vision, etc.

Familiarity with industry-specific skills such as retail analytics, healthcare analytics, financial analytics, etc.

Boston Consulting Group is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, age, religion, sex, sexual orientation, gender identity / expression, national origin, disability, protected veteran status, or any other characteristic protected under national, provincial, or local law, where applicable, and those with criminal histories will be considered in a manner consistent with applicable state and local laws.
BCG is an E - Verify Employer. Click here for more information on E-Verify.",₹6L – ₹8L/yr (Glassdoor Est.),₹7L/yr Median
Citi,3.7,Data Scientist/Machine Learning Engineer (AVP),Pune,"ML Solutions team within Markets OPS Technology is dedicated to developing solutions using Artificial Intelligence, Machine Learning and Generative AI. This team is a leader in creating new ideas, innovative technology solutions, and ground-breaking solutions for Markets Operations and Other Line of Businesses. We work closely with our clients and business partners to progress solutions from ideation to production by leveraging the entrepreneurial spirit and technological excellence.
Job Description:
The ML Solutions team is seeking a Data Scientist/Machine Learning Engineer to drive the design, development, and deployment of innovative AI/ML and GenAI-based solutions. In this hands-on role, you will leverage your expertise to create a variety of AI models, guiding a team from initial concept to successful production. A key aspect involves mentoring team members and fostering their growth. You will collaborate closely with business partners and stakeholders, championing the adoption of these advanced technologies to enhance client experiences, deliver tangible value to our customers, and ensure adherence to regulatory requirements through cutting-edge technical solutions. This position offers a unique opportunity to shape the future of our AI initiatives and make a significant impact on the organization.
Technology
Applications Development
Full time
Please see the requirements listed above.
Data Science, Machine Learning.",₹3L – ₹4L/yr (Glassdoor Est.),₹4L/yr Median
Boston Consulting Group,4.2,Global Audience Analytics Senior Manager,Gurgaon,"Who We Are
Boston Consulting Group partners with leaders in business and society to tackle their most important challenges and capture their greatest opportunities. BCG was the pioneer in business strategy when it was founded in 1963. Today, we help clients with total transformation-inspiring complex change, enabling organizations to grow, building competitive advantage, and driving bottom-line impact.

To succeed, organizations must blend digital and human capabilities. Our diverse, global teams bring deep industry and functional expertise and a range of perspectives to spark change. BCG delivers solutions through leading-edge management consulting along with technology and design, corporate and digital ventures—and business purpose. We work in a uniquely collaborative model across the firm and throughout all levels of the client organization, generating results that allow our clients to thrive.",₹7L – ₹10L/yr (Glassdoor Est.),₹8L/yr Median
Boston Consulting Group,4.2,"AI Engineer / Senior AI Engineer, India - BCG X",Mumbai,"Locations: Mumbai | Gurgaon

Who We Are

Boston Consulting Group partners with leaders in business and society to tackle their most important challenges and capture their greatest opportunities. BCG was the pioneer in business strategy when it was founded in 1963. Today, we help clients with total transformation-inspiring complex change, enabling organizations to grow, building competitive advantage, and driving bottom-line impact.

To succeed, organizations must blend digital and human capabilities. Our diverse, global teams bring deep industry and functional expertise and a range of perspectives to spark change. BCG delivers solutions through leading-edge management consulting along with technology and design, corporate and digital ventures—and business purpose. We work in a uniquely collaborative model across the firm and throughout all levels of the client organization, generating results that allow our clients to thrive.

We Are BCG X

We’re a diverse team of more than 3,000 tech experts united by a drive to make a difference. Working across industries and disciplines, we combine our experience and expertise to tackle the biggest challenges faced by society today. We go beyond what was once thought possible, creating new and innovative solutions to the world’s most complex problems. Leveraging BCG’s global network and partnerships with leading organizations, BCG X provides a stable ecosystem for talent to build game-changing businesses, products, and services from the ground up, all while growing their career. Together, we strive to create solutions that will positively impact the lives of millions.

What You'll Do

Build AI/ML technology stacks from concept to production, including data pipelines, model training, and deployment.
Develop and optimize Generative AI workflows, including prompt engineering, fine-tuning (LoRA, QLoRA), retrieval-augmented generation (RAG), and LLM-based applications.
Work with Large Language Models (LLMs) such as Llama, Mistral, and GPT, ensuring efficient adaptation for various use cases.
Design and implement AI-driven automation using agentic AI systems and orchestration frameworks like Autogen, LangGraph, and CrewAI.
Leverage cloud AI infrastructure (AWS, Azure, GCP) for scalable deployment and performance tuning.
Collaborate with cross-functional teams to deliver AI-driven solutions.

What You'll Bring

Bachelor’s, Master’s, or PhD in Computer Science, Data Science, Mathematics, Statistics, Engineering or a related field.
2+ years of experience in AI/ML, with expertise in Generative AI and LLMs.
Strong proficiency in Python and experience with AI/ML frameworks like PyTorch and TensorFlow.
Knowledge of advanced prompt engineering techniques (Chain of Thought, Few-Shot, Self-Consistency).
Experience in AI workflow automation and model orchestration.
Hands-on experience with API development using Flask or Django.
Familiarity with data processing frameworks like Databricks and Airflow.
Strong analytical skills and the ability to work in a collaborative environment

Boston Consulting Group is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, age, religion, sex, sexual orientation, gender identity / expression, national origin, disability, protected veteran status, or any other characteristic protected under national, provincial, or local law, where applicable, and those with criminal histories will be considered in a manner consistent with applicable state and local laws.
BCG is an E - Verify Employer. Click here for more information on E-Verify.",N/A,N/A
Kinaxis Inc.,4.1,"Senior Software Developer, Machine Learning",India,"About Kinaxis:
About Kinaxis
Elevate your career journey by embracing a new challenge with Kinaxis. We are experts in tech, but it’s really our people who give us passion to always seek ways to do things better. As such, we’re serious about your career growth and professional development, because People matter at Kinaxis.

In 1984, we started out as a team of three engineers based in Ottawa, Canada. Today, we have grown to become a global organization with over 2000 employees around the world, and support 40,000+ users in over 100 countries. As a global leader in end-to-end supply chain management, we enable supply chain excellence for all industries. We are expanding our team in Chennai and around the world as we continue to innovate and revolutionize how we support our customers.

About the team:
About the role:

Why join Kinaxis?:",N/A,N/A
Kinaxis Inc.,4.1,"Staff Software Developer, Machine Learning",Bengaluru,"About Kinaxis:
About Kinaxis
Elevate your career journey by embracing a new challenge with Kinaxis. We are experts in tech, but it’s really our people who give us passion to always seek ways to do things better. As such, we’re serious about your career growth and professional development, because People matter at Kinaxis.

In 1984, we started out as a team of three engineers based in Ottawa, Canada. Today, we have grown to become a global organization with over 2000 employees around the world, and support 40,000+ users in over 100 countries. As a global leader in end-to-end supply chain management, we enable supply chain excellence for all industries. We are expanding our team in Chennai and around the world as we continue to innovate and revolutionize how we support our customers.

About the team:
About the role:

Why join Kinaxis?:",N/A,N/A
Radome Technologies & Services Pvt Ltd,3.8,Data Scientist,India,"Job Title: Data Scientist
Location: Bengaluru
Experience Level: 1-3 years
About Us:
At Radome Technologies, we specialize in AI-driven software solutions for the aviation industry, focusing on aircraft maintenance, fuel efficiency optimization, and safety monitoring. Our cutting-edge AI-powered software enhances operational efficiency, reduces fuel consumption, and ensures regulatory compliance through intelligent monitoring and predictive analytics.
Key Responsibilities:
Develop and optimize AI-based aircraft maintenance and fuel monitoring software solutions.",₹4L – ₹5L/yr (Employer provided),₹4L/yr Median
Schneider Electric,4.3,"Senior, Data Scientist",Bengaluru,"Job Profile - Lead, Data Scientist
We are looking for a passionate ML /AI Lead Data Scientist with demonstrated thought-leadership & proven ability to lead the development of analytics-focused products and utilizing cutting edge machine learning, natural language processing, and mathematical techniques to drive powerful business results. You will have the opportunity to work with a wide range of stakeholders and functional teams to help them discover insights hidden in data sets and enable stakeholders to improve business. AI ethics, fairness and secure development practices are also our focus areas.
Responsibilities
Partners with lines of business to understand business problems and translate them into identifiable machine learning problems which can be delivered as technical solutions and actionable recommendations across the organization",₹8L – ₹10L/yr (Glassdoor Est.),₹9L/yr Median
Michelin,4.0,Senior Data Scientist,Pune,"Senior Data Scientist
- - - - - - - - - - - -
We are seeking a talented Senior Data Scientist of Dynamic Pricing with a passion for solving business problems through the creation and management of dynamic pricing models. In this role, you will lead the innovation and support of our dynamic pricing program, directly impacting growth, profitability, and overall efficiency. You may have the opportunity to navigate the complexities of dynamic pricing in a constantly changing market, using our rich database of millions of data points to build and maintain effective pricing strategies. The position will also be expected to mentor 1-2 data scientists.

Key Responsibilities:",N/A,N/A
GE Aerospace,4.1,Data Science Specialist,Bengaluru,"Job Description Summary
The Data Science Specialist will work in teams addressing statistical, machine learning and data understanding problems in a commercial technology and consultancy development environment. In this role, you will contribute to the development and deployment of modern machine learning, operational research, semantic analysis, and statistical methods for finding structure in large data sets.
Job Description
Company Overview

Working at GE Aerospace means you are bringing your unique perspective, innovative spirit, drive, and curiosity to a collaborative and diverse team working to advance aerospace for future generations. If you have ideas, we will listen. Join us and see your ideas take flight!",₹4L – ₹9L/yr (Glassdoor Est.),₹6L/yr Median
Enfuse Solutions,3.3,Data Scientist (Python developer),Mumbai,"Years of Experience:6
Skills:Python, SQL, Data mining skills
Description:A person will leverage her/his expertise in statistical analysis, machine learning, and data visualization to uncover valuable insights from complex datasets.",₹5L – ₹9L/yr (Glassdoor Est.),₹7L/yr Median
Mastercard,4.2,Senior Data Scientist,Gurgaon,"Our Purpose
Mastercard powers economies and empowers people in 200+ countries and territories worldwide. Together with our customers, we’re helping build a sustainable economy where everyone can prosper. We support a wide range of digital payments choices, making transactions secure, simple, smart and accessible. Our technology and innovation, partnerships and networks combine to deliver a unique set of products and services that help people, businesses and governments realize their greatest potential.
Title and Summary
Senior Data Scientist
We are the global technology company behind the world’s fastest payments processing network. We are a vehicle for commerce, a connection to financial systems for the previously excluded, a technology innovation lab, and the home of Priceless®. We ensure every employee has the opportunity to be a part of something bigger and to change lives. We believe as our company grows, so should you. We believe in connecting everyone to endless, priceless possibilities.

The Mastercard Launch program is aimed at early career talent, to help you develop skills and gain cross-functional work experience. Over a period of 18 months, Launch participants will be assigned to a business unit, learn and develop skills, and gain valuable on the job experience.

Mastercard has over 2 billion payment cards issued by 25,000+ banks across 190+ countries and territories, amassing over 10 petabytes of data. Millions of transactions are flowing to Mastercard in real-time providing an ideal environment to apply and leverage AI at scale. The AI team is responsible for building and deploying innovative AI solutions for all divisions within Mastercard securing a competitive advantage. Our objectives include achieving operational efficiency, improving customer experience, and ensuring robust value propositions of our core products (Credit, Debit, Prepaid) and services (recommendation engine, anti-money laundering, fraud risk management, cybersecurity)

Role:

All About You:
:• Demonstrated passion for AI competing in sponsored challenges such as Kaggle
• •Big Data platforms such as Hadoop, Hive, Spark, GPU Clusters for deep learning
•Hierarchical and Self-organizing Maps), TSNE, PCA, Bayesian models, Time Series ARIMA/ARMA, •Recommender Systems - Collaborative Filtering, FPMC, FISM, Fossil
•Deep Learning algorithm techniques like Random Forest, GBM, KNN, SVM, Bayesian, Text Mining techniques, Multilayer Perceptron, Neural Networks – Feedforward, CNN, LSTM’s GRU’s is a plus. •Optimization techniques – Activity regularization (L1 and L2), Adam, Adagrad, Adadelta concepts; Cost •Functions in Neural Nets – Contrastive Loss, Hinge Loss, Binary Cross entropy, Categorical Cross entropy; developed applications in KRR, NLP, Speech and Image processing",N/A,N/A
Adhiran Infotech,N/A,Data Scientist,Chennai,"Data Scientist
Experience : 2 - 4 years
Job description
Develop Python code to analyze public datasets and extract meaningful insights.
Collaborate closely with researchers to ensure project alignment with company objectives.
Utilize Jupyter notebooks for efficient coding and documentation.
Leverage data from public sources like Kaggle to address business queries and enhance decision-making processes.
We are looking for a data scientist who will help us discover the information hidden in vast amounts of data, and help us make smarter decisions to deliver AI/ML based Enterprise Software Products.",₹6L – ₹12L/yr (Employer provided),₹9L/yr Median
Dun & Bradstreet,4.1,Data Scientist (R-17873),Chennai,"Why We Work at Dun & Bradstreet
Dun & Bradstreet unlocks the power of data through analytics, creating a better tomorrow. Each day, we are finding new ways to strengthen our award-winning culture and accelerate creativity, innovation and growth. Our 6,000+ global team members are passionate about what we do. We are dedicated to helping clients turn uncertainty into confidence, risk into opportunity and potential into prosperity. Bold and diverse thinkers are always welcome. Come join us! Learn more at dnb.com/careers.

The Role:

As part of Dun & Bradstreet's Data & Analytics team, you will participate in all aspects of modeling engagement, including design, development, validation, calibration, documentation, approval, implementation, monitoring, and reporting. You will research complex business issues and recommend solutions, including model features, end products and any data required to support growing Dun & Bradstreet initiatives.",₹3L – ₹6L/yr (Glassdoor Est.),₹4L/yr Median
